feedback_id,source_type,source_artifact,submitted_at,customer_id,segment,region,product_id,feedback_text,expected_theme_id,duplicate_of,urgency,human_review_status
FBK-0001,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-01T16:00:00Z,CUST-001,Enterprise,UK,PRD-001,Workflow retries are difficult to diagnose after a regional timeout.,THM-001,,medium,pending
FBK-0002,sales_call,source_artifacts/sales_calls/CALL-001.docx,2026-08-01T23:00:00Z,CUST-002,Strategic,EU,PRD-002,Keyboard navigation in the policy editor skips conditional fields.,THM-002,,high,pending
FBK-0003,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-02T06:00:00Z,CUST-003,Growth,US,PRD-003,A native connector for the service desk would remove manual exports.,THM-003,,low,pending
FBK-0004,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-02T13:00:00Z,CUST-004,Public Sector,UK,PRD-001,Audit exports should include the human approver and policy version.,THM-004,,medium,pending
FBK-0005,sales_call,source_artifacts/sales_calls/CALL-001.docx,2026-08-02T20:00:00Z,CUST-005,Enterprise,EU,PRD-001,Reviewers need threaded comments on proposed workflow changes.,THM-005,,high,pending
FBK-0006,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-03T03:00:00Z,CUST-006,Strategic,US,PRD-002,Customers cannot predict which usage tier fits seasonal volume.,THM-006,,low,pending
FBK-0007,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-03T10:00:00Z,CUST-007,Growth,UK,PRD-003,Customers need clearer failure reasons when a Collections job stops.,THM-001,,medium,pending
FBK-0008,sales_call,source_artifacts/sales_calls/CALL-001.docx,2026-08-03T17:00:00Z,CUST-008,Public Sector,EU,PRD-001,Administrators want bulk policy editing with a safe preview.,THM-002,,high,pending
FBK-0009,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-04T00:00:00Z,CUST-009,Enterprise,US,PRD-001,Webhook delivery needs replay controls and better error details.,THM-003,,low,reviewed
FBK-0010,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-04T07:00:00Z,CUST-010,Strategic,UK,PRD-002,Leadership needs a weekly reliability view by region.,THM-004,,medium,pending
FBK-0011,sales_call,source_artifacts/sales_calls/CALL-001.docx,2026-08-04T14:00:00Z,CUST-011,Growth,EU,PRD-003,Approval reminders should respect local working hours.,THM-005,,high,pending
FBK-0012,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-04T21:00:00Z,CUST-012,Public Sector,US,PRD-001,Procurement wants a clearer enterprise feature comparison.,THM-006,,low,pending
FBK-0013,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-05T04:00:00Z,CUST-013,Enterprise,UK,PRD-001,The retry queue should preserve the original execution context.,THM-001,,medium,pending
FBK-0014,sales_call,source_artifacts/sales_calls/CALL-002.docx,2026-08-05T11:00:00Z,CUST-014,Strategic,EU,PRD-002,The settings hierarchy is difficult for new account administrators.,THM-002,,high,pending
FBK-0015,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-05T18:00:00Z,CUST-001,Growth,US,PRD-003,Customers want documented examples for the approvals API.,THM-003,,low,pending
FBK-0016,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-06T01:00:00Z,CUST-002,Public Sector,UK,PRD-001,Usage dashboards should exclude suspended tenants by default.,THM-004,,medium,pending
FBK-0017,sales_call,source_artifacts/sales_calls/CALL-002.docx,2026-08-06T08:00:00Z,CUST-003,Enterprise,EU,PRD-001,Product and Security need one shared release checkpoint view. This blocks our October rollout.,THM-005,,high,pending
FBK-0018,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-06T15:00:00Z,CUST-004,Strategic,US,PRD-002,Account teams need advance notice when customers near usage limits.,THM-006,,low,reviewed
FBK-0019,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-06T22:00:00Z,CUST-005,Growth,UK,PRD-003,Workflow retries are difficult to diagnose after a regional timeout.,THM-001,,medium,pending
FBK-0020,sales_call,source_artifacts/sales_calls/CALL-002.docx,2026-08-07T05:00:00Z,CUST-006,Public Sector,EU,PRD-001,Keyboard navigation in the policy editor skips conditional fields.,THM-002,FBK-0014,high,pending
FBK-0021,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-07T12:00:00Z,CUST-007,Enterprise,US,PRD-001,A native connector for the service desk would remove manual exports.,THM-003,,low,pending
FBK-0022,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-07T19:00:00Z,CUST-008,Strategic,UK,PRD-002,Audit exports should include the human approver and policy version.,THM-004,,medium,pending
FBK-0023,sales_call,source_artifacts/sales_calls/CALL-002.docx,2026-08-08T02:00:00Z,CUST-009,Growth,EU,PRD-003,Reviewers need threaded comments on proposed workflow changes.,THM-005,,high,pending
FBK-0024,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-08T09:00:00Z,CUST-010,Public Sector,US,PRD-001,Customers cannot predict which usage tier fits seasonal volume.,THM-006,,low,pending
FBK-0025,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-08T16:00:00Z,CUST-011,Enterprise,UK,PRD-001,Customers need clearer failure reasons when a Collections job stops.,THM-001,,medium,pending
FBK-0026,sales_call,source_artifacts/sales_calls/CALL-003.docx,2026-08-08T23:00:00Z,CUST-012,Strategic,EU,PRD-002,Administrators want bulk policy editing with a safe preview.,THM-002,,high,pending
FBK-0027,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-09T06:00:00Z,CUST-013,Growth,US,PRD-003,Webhook delivery needs replay controls and better error details.,THM-003,,low,reviewed
FBK-0028,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-09T13:00:00Z,CUST-014,Public Sector,UK,PRD-001,Leadership needs a weekly reliability view by region.,THM-004,,medium,pending
FBK-0029,sales_call,source_artifacts/sales_calls/CALL-003.docx,2026-08-09T20:00:00Z,CUST-001,Enterprise,EU,PRD-001,Approval reminders should respect local working hours.,THM-005,,high,pending
FBK-0030,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-10T03:00:00Z,CUST-002,Strategic,US,PRD-002,Procurement wants a clearer enterprise feature comparison.,THM-006,FBK-0024,low,pending
FBK-0031,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-10T10:00:00Z,CUST-003,Growth,UK,PRD-003,The retry queue should preserve the original execution context.,THM-001,,medium,pending
FBK-0032,sales_call,source_artifacts/sales_calls/CALL-003.docx,2026-08-10T17:00:00Z,CUST-004,Public Sector,EU,PRD-001,The settings hierarchy is difficult for new account administrators.,THM-002,,high,pending
FBK-0033,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-11T00:00:00Z,CUST-005,Enterprise,US,PRD-001,Customers want documented examples for the approvals API.,THM-003,,low,pending
