policy_id,title,owner_team_id,version,effective_date,document_id,approval_required
POL-001,Production Change Approval,TEAM-004,3.1,2026-05-13,DOC-0001,security_and_operations
POL-002,Privileged Access Review,TEAM-004,2.4,2026-05-25,DOC-0002,manager_and_security
POL-003,European Release Readiness,TEAM-006,1.3,2026-06-06,DOC-0003,legal_security_product
POL-004,Customer Data Redaction,TEAM-004,4.0,2026-06-18,DOC-0006,none
POL-005,Customer Escalation Handling,TEAM-005,2.0,2026-06-30,DOC-0008,support_director_for_severity_1
POL-006,Product Feedback Prioritization,TEAM-002,1.2,2026-07-12,DOC-0012,product_owner
POL-007,Research Source Attribution,TEAM-011,1.1,2026-07-24,DOC-0014,strategy_reviewer
POL-008,AI-Assisted Decision Review,TEAM-012,1.0,2026-08-05,DOC-0016,executive_owner
POL-009,Financial Model Verification,TEAM-009,2.1,2026-08-17,DOC-0018,finance_reviewer
POL-010,Vendor and Tool Onboarding,TEAM-003,1.5,2026-08-29,DOC-0020,operations_and_security
