customer_id,name,region,country,segment,products,renewal_date
CUST-001,Northstar Fabrication,EU,DE,Enterprise,Collections|Pulse,2026-11-17
CUST-002,North Star Logistics,UK,GB,Enterprise,Collections|Nudge,2026-12-04
CUST-003,Alder BioSystems,EU,FR,Strategic,Collections|Nudge|Pulse,2026-12-21
CUST-004,Juniper Public Works,US,US,Public Sector,Pulse,2027-01-07
CUST-005,Helio Retail Group,EU,NL,Enterprise,Collections|Pulse,2027-01-24
CUST-006,Cedar Health Network,US,US,Strategic,Collections|Nudge,2027-02-10
CUST-007,Vela Energy Systems,UK,GB,Enterprise,Collections|Nudge|Pulse,2027-02-27
CUST-008,Kestrel Mobility,EU,SE,Growth,Pulse,2027-03-16
CUST-009,Blue Harbor Bank,US,US,Strategic,Collections|Pulse,2027-04-02
CUST-010,Stonebridge Media,UK,GB,Growth,Collections|Nudge,2027-04-19
CUST-011,Lumen Education,EU,ES,Public Sector,Collections|Nudge|Pulse,2027-05-06
CUST-012,Orchid Foods,US,CA,Enterprise,Pulse,2027-05-23
CUST-013,Summit Aero,EU,IE,Strategic,Collections|Pulse,2027-06-09
CUST-014,Redwood Components,US,US,Growth,Collections|Nudge,2027-06-26
