document_id,title,category,source_type,artifact_path,author_person_id,owner_team_id,created_date,last_updated_date,effective_date,version,status,superseded_by,product_tags,system_tags,region,access_classification,intended_audience
DOC-0001,Production Change Approval,policy,pdf,documents/DOC-0001_production_change_approval.pdf,PER-001,TEAM-001,2025-10-05,2025-10-07,2025-10-07,2.1,authoritative,,PRD-001,SYS-001,US,internal,product
DOC-0002,Privileged Access Review,architecture,pptx,documents/DOC-0002_privileged_access_review.pptx,PER-002,TEAM-002,2025-10-09,2025-10-12,2025-10-12,3.2,authoritative,,PRD-001,SYS-002,UK,restricted,operations
DOC-0003,Deployment Ring Controls,runbook,docx,documents/DOC-0003_deployment_ring_controls.docx,PER-003,TEAM-003,2025-10-13,2025-10-17,2025-10-17,4.3,authoritative,,PRD-001,SYS-003,EU,internal,leadership
DOC-0004,Collections EU Release Readiness Checklist,release_note,pdf,documents/DOC-0004_collections_eu_release_readiness_checklist.pdf,PER-004,TEAM-004,2025-10-17,2025-10-22,2025-10-22,1.4,superseded,DOC-0003,PRD-001|PRD-003,SYS-004,GLOBAL,internal,engineering
DOC-0005,Collections Runtime Architecture,meeting_note,pptx,documents/DOC-0005_collections_runtime_architecture.pptx,PER-005,TEAM-005,2025-10-21,2025-10-27,2025-10-27,2.5,authoritative,,PRD-001,SYS-005,US,internal,product
DOC-0006,Customer Data Redaction,support_article,docx,documents/DOC-0006_customer_data_redaction.docx,PER-006,TEAM-006,2025-10-25,2025-11-01,2025-11-01,3.0,authoritative,,PRD-001,SYS-006,UK,internal,operations
DOC-0007,Collections 4.2 Accessibility Findings,research_note,pdf,documents/DOC-0007_collections_4_2_accessibility_findings.pdf,PER-007,TEAM-007,2025-10-29,2025-11-06,2025-11-06,4.1,authoritative,,PRD-001,SYS-007,EU,internal,leadership
DOC-0008,Customer Escalation Handling,decision_record,pptx,documents/DOC-0008_customer_escalation_handling.pptx,PER-008,TEAM-008,2025-11-02,2025-11-11,2025-11-11,1.2,authoritative,,PRD-001|PRD-003,SYS-008,GLOBAL,internal,engineering
DOC-0009,Decision Record: Collections 4.1 Rollout,playbook,docx,documents/DOC-0009_decision_record_collections_4_1_rollout.docx,PER-009,TEAM-009,2025-11-06,2025-11-07,2025-11-07,2.3,authoritative,,PRD-001,SYS-009,US,internal,product
DOC-0010,Regional Processor Notice Requirements,faq,pdf,documents/DOC-0010_regional_processor_notice_requirements.pdf,PER-010,TEAM-010,2025-11-10,2025-11-12,2025-11-12,3.4,authoritative,,PRD-001,SYS-010,UK,restricted,operations
