system_id,name,product_id,owner_team_id,tier,region
SYS-001,Collections Workflow Runtime,PRD-001,TEAM-003,1,GLOBAL
SYS-002,Collections Policy Engine,PRD-001,TEAM-001,1,GLOBAL
SYS-003,Nudge Message Router,PRD-002,TEAM-003,2,GLOBAL
SYS-004,Pulse Metrics Store,PRD-003,TEAM-008,1,EU
SYS-005,Identity Access Gateway,PRD-001,TEAM-004,1,GLOBAL
SYS-006,Customer Account Hub,PRD-003,TEAM-005,2,GLOBAL
SYS-007,Feedback Intake Lake,PRD-003,TEAM-008,2,GLOBAL
SYS-008,Product Planning Board,PRD-001,TEAM-002,2,GLOBAL
SYS-009,Research Source Registry,PRD-003,TEAM-011,2,GLOBAL
SYS-010,Financial Planning Model,PRD-003,TEAM-009,2,GLOBAL
SYS-011,Contract Repository,PRD-002,TEAM-006,2,GLOBAL
SYS-012,Approval and Audit Service,PRD-001,TEAM-004,1,GLOBAL
