candidate_id,title,theme_id,reach,impact,confidence,effort_person_months,rice_score,scoring_rationale,product_owner_status,override_reason
CAN-001,Workflow reliability: initiative 1,THM-001,197,2,0.75,3,98.5,"Uses 197 affected accounts, impact 2, confidence 0.75, effort 3.",approved,
CAN-002,Administration usability: initiative 1,THM-002,234,3,0.9,4,157.95,"Uses 234 affected accounts, impact 3, confidence 0.9, effort 4.",pending_review,
CAN-003,Integrations: initiative 1,THM-003,271,1,0.6,5,32.52,"Uses 271 affected accounts, impact 1, confidence 0.6, effort 5.",approved,
CAN-004,Reporting and analytics: initiative 1,THM-004,308,2,0.75,6,77.0,"Uses 308 affected accounts, impact 2, confidence 0.75, effort 6.",pending_review,
CAN-005,Collaboration: initiative 1,THM-005,345,3,0.9,7,133.07,"Uses 345 affected accounts, impact 3, confidence 0.9, effort 7.",pending_review,
CAN-006,Commercial packaging: initiative 1,THM-006,382,1,0.6,8,28.65,"Uses 382 affected accounts, impact 1, confidence 0.6, effort 8.",pending_review,
CAN-007,Workflow reliability: initiative 2,THM-001,419,2,0.75,2,314.25,"Uses 419 affected accounts, impact 2, confidence 0.75, effort 2.",pending_review,
CAN-008,Administration usability: initiative 2,THM-002,456,3,0.9,3,410.4,"Uses 456 affected accounts, impact 3, confidence 0.9, effort 3.",approved,Accessibility commitment
CAN-009,Integrations: initiative 2,THM-003,493,1,0.6,4,73.95,"Uses 493 affected accounts, impact 1, confidence 0.6, effort 4.",pending_review,
CAN-010,Reporting and analytics: initiative 2,THM-004,530,2,0.75,5,159.0,"Uses 530 affected accounts, impact 2, confidence 0.75, effort 5.",pending_review,
CAN-011,Collaboration: initiative 2,THM-005,567,3,0.9,6,255.15,"Uses 567 affected accounts, impact 3, confidence 0.9, effort 6.",pending_review,
CAN-012,Commercial packaging: initiative 2,THM-006,604,1,0.6,7,51.77,"Uses 604 affected accounts, impact 1, confidence 0.6, effort 7.",pending_review,
CAN-013,Workflow reliability: initiative 3,THM-001,641,2,0.75,8,120.19,"Uses 641 affected accounts, impact 2, confidence 0.75, effort 8.",pending_review,
CAN-014,Administration usability: initiative 3,THM-002,678,3,0.9,2,915.3,"Uses 678 affected accounts, impact 3, confidence 0.9, effort 2.",pending_review,
CAN-015,Integrations: initiative 3,THM-003,715,1,0.6,3,143.0,"Uses 715 affected accounts, impact 1, confidence 0.6, effort 3.",pending_review,
CAN-016,Reporting and analytics: initiative 3,THM-004,752,2,0.75,4,282.0,"Uses 752 affected accounts, impact 2, confidence 0.75, effort 4.",pending_review,
CAN-017,Collaboration: initiative 3,THM-005,789,3,0.9,5,426.06,"Uses 789 affected accounts, impact 3, confidence 0.9, effort 5.",pending_review,
CAN-018,Commercial packaging: initiative 3,THM-006,826,1,0.6,6,82.6,"Uses 826 affected accounts, impact 1, confidence 0.6, effort 6.",pending_review,
