ticket_id,case_type,title,description,created_at,priority_reported,customer_id,system_id,assigned_team_id,policy_id,related_ticket_id,related_evidence_id,source_artifact,requires_approval,expected_disposition,expected_escalation_reason,status
TKT-00001,incident,Incident case 001,P95 Collections workflow latency reached 3.8 seconds for Northstar Fabrication in the EU.,2026-09-14T08:23:00Z,P2,CUST-001,SYS-001,TEAM-003,POL-001,,EVD-0005,intake_documents/BATCH-01.docx,false,automate,,new
TKT-00002,service_request,Service Request case 002,Synthetic service request for SYS-002 submitted by CUST-002.,2026-09-14T08:46:00Z,P1,CUST-002,SYS-002,TEAM-004,POL-002,TKT-00001,EVD-0005,intake_documents/BATCH-01.docx,false,automate,,new
TKT-00003,access_request,Access Request case 003,Synthetic access request for SYS-003 submitted by CUST-003.,2026-09-14T09:09:00Z,P3,CUST-003,SYS-003,TEAM-005,POL-003,,,intake_documents/BATCH-01.docx,false,automate,,new
TKT-00004,change_request,Change Request case 004,Synthetic change request for SYS-004 submitted by CUST-004.,2026-09-14T09:32:00Z,P2,CUST-004,SYS-004,TEAM-001,POL-004,,,intake_documents/BATCH-01.docx,false,automate,,new
TKT-00005,data_quality_alert,Data Quality Alert case 005,Synthetic data quality alert for SYS-005 submitted by CUST-005.,2026-09-14T09:55:00Z,P1,CUST-005,SYS-005,TEAM-002,POL-005,,,intake_documents/BATCH-01.docx,false,automate,,new
TKT-00006,policy_exception,Policy Exception case 006,Synthetic policy exception for SYS-006 submitted by CUST-006.,2026-09-14T10:18:00Z,P3,CUST-006,SYS-006,TEAM-003,POL-006,,,intake_documents/BATCH-02.docx,false,automate,,new
TKT-00007,customer_escalation,Customer Escalation case 007,Synthetic customer escalation for SYS-007 submitted by CUST-007.,2026-09-14T10:41:00Z,P2,CUST-007,SYS-007,TEAM-004,POL-007,,,intake_documents/BATCH-02.docx,false,automate,,new
TKT-00008,approval_request,Approval Request case 008,Synthetic approval request for SYS-008 submitted by CUST-008.,2026-09-14T11:04:00Z,P1,CUST-008,SYS-008,TEAM-005,POL-008,,,intake_documents/BATCH-02.docx,false,automate,,new
TKT-00009,incident,Incident case 009,Synthetic incident for SYS-009 submitted by CUST-009.,2026-09-14T11:27:00Z,P3,CUST-009,SYS-009,TEAM-001,POL-009,,,intake_documents/BATCH-02.docx,false,automate,,new
TKT-00010,service_request,Service Request case 010,Synthetic service request for SYS-010 submitted by CUST-010.,2026-09-14T11:50:00Z,P2,CUST-010,SYS-010,TEAM-002,POL-010,,,intake_documents/BATCH-02.docx,false,automate,,new
TKT-00011,access_request,Access Request case 011,Synthetic access request for SYS-011 submitted by CUST-011.,2026-09-14T12:13:00Z,P1,CUST-011,SYS-011,TEAM-003,POL-001,,,intake_documents/BATCH-03.docx,false,automate,,new
TKT-00012,change_request,Change Request case 012,Synthetic change request for SYS-012 submitted by CUST-012.,2026-09-14T12:36:00Z,P3,CUST-012,SYS-012,TEAM-004,POL-002,,,intake_documents/BATCH-03.docx,false,automate,,new
TKT-00013,data_quality_alert,Data Quality Alert case 013,Synthetic data quality alert for SYS-001 submitted by CUST-013.,2026-09-14T12:59:00Z,P2,CUST-013,SYS-001,TEAM-005,POL-003,,,intake_documents/BATCH-03.docx,false,automate,,new
TKT-00014,policy_exception,Policy Exception case 014,Synthetic policy exception for SYS-002 submitted by CUST-014.,2026-09-14T13:22:00Z,P1,CUST-014,SYS-002,TEAM-001,POL-004,,,intake_documents/BATCH-03.docx,false,automate,,new
TKT-00015,customer_escalation,Customer Escalation case 015,Synthetic customer escalation for SYS-003 submitted by CUST-001.,2026-09-14T13:45:00Z,P3,CUST-001,SYS-003,TEAM-002,POL-005,,,intake_documents/BATCH-03.docx,false,automate,,new
TKT-00016,approval_request,Approval Request case 016,Synthetic approval request for SYS-004 submitted by CUST-002.,2026-09-14T14:08:00Z,P2,CUST-002,SYS-004,TEAM-003,POL-006,,,intake_documents/BATCH-04.docx,false,automate,,new
TKT-00017,incident,Incident case 017,Synthetic incident for SYS-005 submitted by CUST-003.,2026-09-14T14:31:00Z,P1,CUST-003,SYS-005,TEAM-004,POL-007,TKT-00001,EVD-0005,intake_documents/BATCH-04.docx,false,automate,,new
TKT-00018,service_request,Service Request case 018,Synthetic service request for SYS-006 submitted by CUST-004.,2026-09-14T14:54:00Z,P3,CUST-004,SYS-006,TEAM-005,POL-008,,,intake_documents/BATCH-04.docx,false,automate,,new
TKT-00019,access_request,Access Request case 019,Synthetic access request for SYS-007 submitted by CUST-005.,2026-09-14T15:17:00Z,P2,CUST-005,SYS-007,TEAM-001,POL-009,,,intake_documents/BATCH-04.docx,false,automate,,new
TKT-00020,change_request,Change Request case 020,Synthetic change request for SYS-008 submitted by CUST-006.,2026-09-14T15:40:00Z,P1,CUST-006,SYS-008,TEAM-002,POL-010,,,intake_documents/BATCH-04.docx,false,automate,,new
TKT-00021,data_quality_alert,Data Quality Alert case 021,Synthetic data quality alert for SYS-009 submitted by CUST-007.,2026-09-14T16:03:00Z,P3,CUST-007,SYS-009,TEAM-003,POL-001,,,intake_documents/BATCH-05.docx,false,automate,,new
TKT-00022,policy_exception,Policy Exception case 022,Synthetic policy exception for SYS-010 submitted by CUST-008.,2026-09-14T16:26:00Z,P2,CUST-008,SYS-010,TEAM-004,POL-002,,,intake_documents/BATCH-05.docx,false,automate,,new
TKT-00023,customer_escalation,Customer Escalation case 023,Synthetic customer escalation for SYS-011 submitted by CUST-009.,2026-09-14T16:49:00Z,P1,CUST-009,SYS-011,TEAM-005,POL-003,,,intake_documents/BATCH-05.docx,false,automate,,new
TKT-00024,approval_request,Approval Request case 024,Synthetic approval request for SYS-012 submitted by CUST-010.,2026-09-14T17:12:00Z,P3,CUST-010,SYS-012,TEAM-001,POL-004,,,intake_documents/BATCH-05.docx,false,automate,,new
TKT-00025,incident,Incident case 025,Synthetic incident for SYS-001 submitted by CUST-011.,2026-09-14T17:35:00Z,P2,CUST-011,SYS-001,TEAM-002,POL-005,,,intake_documents/BATCH-05.docx,false,automate,,new
TKT-00026,service_request,Service Request case 026,Synthetic service request for SYS-002 submitted by CUST-012.,2026-09-14T17:58:00Z,P1,CUST-012,SYS-002,TEAM-003,POL-006,,,intake_documents/BATCH-06.docx,false,automate,,new
TKT-00027,access_request,Access Request case 027,Synthetic access request for SYS-003 submitted by CUST-013.,2026-09-14T18:21:00Z,P3,CUST-013,SYS-003,TEAM-004,POL-007,,,intake_documents/BATCH-06.docx,false,automate,,new
TKT-00028,change_request,Change Request case 028,Synthetic change request for SYS-004 submitted by CUST-014.,2026-09-14T18:44:00Z,P2,CUST-014,SYS-004,TEAM-005,POL-008,,,intake_documents/BATCH-06.docx,false,automate,,new
TKT-00029,data_quality_alert,Data Quality Alert case 029,Synthetic data quality alert for SYS-005 submitted by CUST-001.,2026-09-14T19:07:00Z,P1,CUST-001,SYS-005,TEAM-001,POL-009,,,intake_documents/BATCH-06.docx,false,automate,,new
TKT-00030,policy_exception,Policy Exception case 030,Synthetic policy exception for SYS-006 submitted by CUST-002.,2026-09-14T19:30:00Z,P3,CUST-002,SYS-006,TEAM-002,POL-010,,,intake_documents/BATCH-06.docx,false,automate,,new
TKT-00031,customer_escalation,Customer Escalation case 031,Synthetic customer escalation for SYS-007 submitted by CUST-003.,2026-09-14T19:53:00Z,P2,CUST-003,SYS-007,TEAM-003,POL-001,,,intake_documents/BATCH-07.docx,false,automate,,new
TKT-00032,approval_request,Approval Request case 032,Synthetic approval request for SYS-008 submitted by CUST-004.,2026-09-14T20:16:00Z,P1,CUST-004,SYS-008,TEAM-004,POL-002,,,intake_documents/BATCH-07.docx,false,automate,,new
TKT-00033,incident,Incident case 033,Synthetic incident for SYS-009 submitted by CUST-005.,2026-09-14T20:39:00Z,P3,CUST-005,SYS-009,TEAM-005,POL-003,,,intake_documents/BATCH-07.docx,false,automate,,new
TKT-00034,service_request,Service Request case 034,Synthetic service request for SYS-010 submitted by CUST-006.,2026-09-14T21:02:00Z,P2,CUST-006,SYS-010,TEAM-001,POL-004,,,intake_documents/BATCH-07.docx,false,automate,,new
TKT-00035,access_request,Access Request case 035,Synthetic access request for SYS-011 submitted by CUST-007.,2026-09-14T21:25:00Z,P1,CUST-007,SYS-011,TEAM-002,POL-005,,,intake_documents/BATCH-07.docx,false,automate,,new
TKT-00036,change_request,Change Request case 036,Synthetic change request for SYS-012 submitted by CUST-008. Requester identity is missing.,2026-09-14T21:48:00Z,P3,CUST-008,SYS-012,TEAM-003,POL-006,,,intake_documents/BATCH-08.docx,false,escalate,missing_requester_identity,new
TKT-00037,data_quality_alert,Data Quality Alert case 037,Synthetic data quality alert for SYS-001 submitted by CUST-009.,2026-09-14T22:11:00Z,P2,CUST-009,SYS-001,TEAM-004,POL-007,,,intake_documents/BATCH-08.docx,true,escalate,required_security_approval,new
TKT-00038,policy_exception,Policy Exception case 038,Synthetic policy exception for SYS-002 submitted by CUST-010. The attached legacy runbook permits one approval while current policy requires two.,2026-09-14T22:34:00Z,P1,CUST-010,SYS-002,TEAM-005,POL-008,,,intake_documents/BATCH-08.docx,false,escalate,conflicting_policy_and_runbook,new
TKT-00039,customer_escalation,Customer Escalation case 039,Synthetic customer escalation for SYS-003 submitted by CUST-011. The mock configuration service returns an unexpected schema.,2026-09-14T22:57:00Z,P3,CUST-011,SYS-003,TEAM-001,POL-009,,,intake_documents/BATCH-08.docx,false,escalate,malformed_downstream_response,new
TKT-00040,approval_request,Approval Request case 040,Synthetic approval request for SYS-004 submitted by CUST-012. The name may refer to Northstar Fabrication or North Star Logistics.,2026-09-14T23:20:00Z,P2,CUST-012,SYS-004,TEAM-002,POL-010,,,intake_documents/BATCH-08.docx,false,escalate,unresolved_customer_ambiguity,new
TKT-00041,incident,Incident case 041,Synthetic incident for SYS-005 submitted by CUST-013. Requester identity is missing.,2026-09-14T23:43:00Z,P1,CUST-013,SYS-005,TEAM-003,POL-001,,,intake_documents/BATCH-09.docx,false,escalate,missing_requester_identity,new
TKT-00042,service_request,Service Request case 042,Synthetic service request for SYS-006 submitted by CUST-014.,2026-09-15T00:06:00Z,P3,CUST-014,SYS-006,TEAM-004,POL-002,,,intake_documents/BATCH-09.docx,true,escalate,required_security_approval,new
TKT-00043,access_request,Access Request case 043,Synthetic access request for SYS-007 submitted by CUST-001. The attached legacy runbook permits one approval while current policy requires two.,2026-09-15T00:29:00Z,P2,CUST-001,SYS-007,TEAM-005,POL-003,,,intake_documents/BATCH-09.docx,false,escalate,conflicting_policy_and_runbook,new
TKT-00044,change_request,Change Request case 044,Synthetic change request for SYS-008 submitted by CUST-002. The mock configuration service returns an unexpected schema.,2026-09-15T00:52:00Z,P1,CUST-002,SYS-008,TEAM-001,POL-004,,,intake_documents/BATCH-09.docx,false,escalate,malformed_downstream_response,new
TKT-00045,data_quality_alert,Data Quality Alert case 045,Synthetic data quality alert for SYS-009 submitted by CUST-003. The name may refer to Northstar Fabrication or North Star Logistics.,2026-09-15T01:15:00Z,P3,CUST-003,SYS-009,TEAM-002,POL-005,,,intake_documents/BATCH-09.docx,false,escalate,unresolved_customer_ambiguity,new
TKT-00046,policy_exception,Policy Exception case 046,Synthetic policy exception for SYS-010 submitted by CUST-004. Requester identity is missing.,2026-09-15T01:38:00Z,P2,CUST-004,SYS-010,TEAM-003,POL-006,,,intake_documents/BATCH-10.docx,false,escalate,missing_requester_identity,new
