ticket_id,case_type,customer_id,decision,escalation_reason
TKT-00001,incident,CUST-001,automate,—
TKT-00002,service_request,CUST-002,automate,—
TKT-00003,access_request,CUST-003,automate,—
TKT-00004,change_request,CUST-004,automate,—
TKT-00005,data_quality_alert,CUST-005,automate,—
TKT-00006,policy_exception,CUST-006,automate,—
TKT-00007,customer_escalation,CUST-007,automate,—
TKT-00008,approval_request,CUST-008,automate,—
TKT-00009,incident,CUST-009,automate,—
TKT-00010,service_request,CUST-010,automate,—
TKT-00011,access_request,CUST-011,automate,—
TKT-00012,change_request,CUST-012,automate,—
TKT-00013,data_quality_alert,CUST-013,automate,—
TKT-00014,policy_exception,CUST-014,automate,—
TKT-00015,customer_escalation,CUST-001,automate,—
TKT-00016,approval_request,CUST-002,automate,—
TKT-00017,incident,CUST-003,automate,—
TKT-00018,service_request,CUST-004,automate,—
TKT-00019,access_request,CUST-005,automate,—
TKT-00020,change_request,CUST-006,automate,—
TKT-00021,data_quality_alert,CUST-007,automate,—
TKT-00022,policy_exception,CUST-008,automate,—
TKT-00023,customer_escalation,CUST-009,automate,—
TKT-00024,approval_request,CUST-010,automate,—
TKT-00025,incident,CUST-011,automate,—
TKT-00026,service_request,CUST-012,automate,—
TKT-00027,access_request,CUST-013,automate,—
TKT-00028,change_request,CUST-014,automate,—
TKT-00029,data_quality_alert,CUST-001,automate,—
TKT-00030,policy_exception,CUST-002,automate,—
TKT-00031,customer_escalation,CUST-003,automate,—
TKT-00032,approval_request,CUST-004,automate,—
TKT-00033,incident,CUST-005,automate,—
TKT-00034,service_request,CUST-006,automate,—
TKT-00035,access_request,CUST-007,automate,—
TKT-00036,change_request,CUST-008,escalate,missing_requester_identity
TKT-00037,data_quality_alert,CUST-009,escalate,required_security_approval
TKT-00038,policy_exception,CUST-010,escalate,conflicting_policy_and_runbook
TKT-00039,customer_escalation,CUST-011,escalate,malformed_downstream_response
TKT-00040,approval_request,CUST-012,escalate,unresolved_customer_ambiguity
TKT-00041,incident,CUST-013,escalate,missing_requester_identity
TKT-00042,service_request,CUST-014,escalate,required_security_approval
TKT-00043,access_request,CUST-001,escalate,conflicting_policy_and_runbook
TKT-00044,change_request,CUST-002,escalate,malformed_downstream_response
TKT-00045,data_quality_alert,CUST-003,escalate,unresolved_customer_ambiguity
TKT-00046,policy_exception,CUST-004,escalate,missing_requester_identity
TKT-00047,customer_escalation,CUST-005,escalate,required_security_approval
TKT-00048,approval_request,CUST-006,escalate,conflicting_policy_and_runbook
TKT-00049,incident,CUST-007,escalate,malformed_downstream_response
TKT-00050,service_request,CUST-008,escalate,unresolved_customer_ambiguity
