ticket_id,must_log_validation,must_log_policy,must_log_human_checkpoint,must_redact_sensitive_data
TKT-00001,true,true,false,false
TKT-00002,true,true,false,false
TKT-00003,true,true,false,false
TKT-00004,true,true,false,false
TKT-00005,true,true,false,false
TKT-00006,true,true,false,false
TKT-00007,true,true,false,false
TKT-00008,true,true,false,false
TKT-00009,true,true,false,false
TKT-00010,true,true,false,false
TKT-00011,true,true,false,false
TKT-00012,true,true,false,false
TKT-00013,true,true,false,true
TKT-00014,true,true,false,false
TKT-00015,true,true,false,false
TKT-00016,true,true,false,false
TKT-00017,true,true,false,false
TKT-00018,true,true,false,false
TKT-00019,true,true,false,false
TKT-00020,true,true,false,false
TKT-00021,true,true,false,false
TKT-00022,true,true,false,false
TKT-00023,true,true,false,false
TKT-00024,true,true,false,false
TKT-00025,true,true,false,false
TKT-00026,true,true,false,true
TKT-00027,true,true,false,false
TKT-00028,true,true,false,false
TKT-00029,true,true,false,false
TKT-00030,true,true,false,false
TKT-00031,true,true,false,false
TKT-00032,true,true,false,false
TKT-00033,true,true,false,false
TKT-00034,true,true,false,false
TKT-00035,true,true,false,false
TKT-00036,true,true,true,false
TKT-00037,true,true,true,false
TKT-00038,true,true,true,false
TKT-00039,true,true,true,true
TKT-00040,true,true,true,false
TKT-00041,true,true,true,false
TKT-00042,true,true,true,false
TKT-00043,true,true,true,false
TKT-00044,true,true,true,false
TKT-00045,true,true,true,false
TKT-00046,true,true,true,false
TKT-00047,true,true,true,false
TKT-00048,true,true,true,false
TKT-00049,true,true,true,false
TKT-00050,true,true,true,false
